id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,collaboration_qual,competition_qual,collaboration_post,collaboration_qual_follow_up,competition_qual_follow_up,work_life,work_challenges,work_challenges_post,work_challenges_follow_up,takeaway,compassion_insight,global_challenge_insight,follow_up_meditation_binary,follow_up_meditation_style_Q,follow_up_changes_Q,anything_else,anything_else_post,anything_else_follow_up
Participant 29,pre,63,Woman,"Cornwall, Ontario",White or European descent,Healthcare,Somatically-based healing facilitation with a focus on interrupting the transmission of inter-generational trauma.,"Student, St Paul University, Ottawa.",Very Experienced (5+ Years),Sitting meditation and mindfulness practice in the Plum Village tradition.,Yes,No,NA,Yes,Tibetan Buddhism.,No,Yes,I belong to the St Lawrence River Basin. I am with the river daily. There are many birds. I garden.,NA,The work is fundamentally collaborative in nature.,"Very rarely, someone will attempt to monetize collaborative work for personal gain.",NA,NA,NA,It requires discipline to maintain hope. It feels sometimes isolating to be working with difficult stories. I am surrounded by people who are also striving and trying to keep hope fresh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 30,"pre, post",39,Woman,The Hague,White or European descent,Artistic research,"Ecology, perceptions of a changing environment, deep time, pollution",NA,Little (1-2 Years),"Meditation, Yoga",No,No,NA,Yes,"Pa pae retreat, Thailand",No,Yes,Dunes and beach. About 2-3 times a week during summer,NA,"Working with other artists, researchers, curators etc","There are a lot of artists and not enough opportunities and funding to go around , thus you are essentially in competition with your peers all the time..","I am an artist who works a lot with scientists from different fields, from humanities to hard sciences, and am in general very interested in the potentials and barriers of interdisciplinary collaboration. I found it incredibly interesting to witness the interweaving of buddhist practice, psychology and philosophy with Western Science - where it went well, where there was friction and how the space was given for that friction to unravel, both in the community and in myself. I learned a lot from the retreat, but not necessarily in the sessions that I expected - I learned more from the dharma sharing family, the affinity dinner, and the casual talks with other participants than the science talks (although I also learned a lot from those). But the space given to those (to me) less conventional moments of sharing was the most generative.",NA,NA,NA,"I am currently in a transition phase where i am sort of questioning my role as an artist in society, how I can survive moving into “middle age” and how I can be best of service to the world. In my work I often collaborate with scientists, and find the interdisciplinary collaboration across art and science important. But I am not sure how to make this also sustainable as work and practice yet. These are questions I hope I will encounter and meditate on during the retreat as well.","(I assumed the above multiple choice options were to reflect how i feel after the retreat vs before) I still feel confused about my direction in life - ie. the concerns I had before the retreat are still there, but I feel less hopeless and less suffering from the issues I face. I am trying to integrate the new perspectives and practice I gained from the retreat to find my way towards a clearer aspiration in life (which will hopefully also bring about more wholesome social, economic and environmental realities).",NA,"I feel like I understand the practice (not only of meditating, but of being part of a buddhist practice/lineage/etc) better. I have done ""mindfulness without the buddhism"" through therapy in the past, done my own meditation (as a remedy for mental health), but for the first time after the retreat I feel a sense of larger purpose (?) and meaning that goes beyond the 'remedy' idea, and actually makes me feel (surprise) good! part of a community! that there's hope and meaning to be found on this crazy journey! So that's pretty much the best thing one could wish for!","I'm just blown away by the whole organizational structure, reach and community of Plum Village. I'm amazed that this movement is (seemingly, from my first encounter) such a healthy, flourishing, compassionate and resilient community - I think capitalism and indvidualism had tricked me into thinking that this isn't possible, that a movement this big would be 'cultish' or unhealthy in some way. I've been proven wrong. Now, after the retreat, I hope to join a local or online sangha, and feel that I have a potentially life-long commitment to the practice, which will help me overcome issues in my personality, and issues in my communities, that I felt were unsolvable.","Yes! It gave me hope. I realized I had come into the event rather cynically, about my own abilities to transform, as well as for the world to transform into a more just place (or even a place where we and other species can survive). Meeting so many passionate and compassionate people, who work so hard on trying to make a difference in the world, even when it feels seemingly impossible, was heartening. The ''Begin Anew"" practice, as well as the profound insight of what happens when we learn to take care of our own emotions before we encounter the world, gave me hope in terms of collaboration on global challenges, and creating an environment for justice where we don't burn out.",NA,NA,NA,NA,Thank you for including me in the survey. I hope to meet again some other time at Plum Village!,NA
Participant 31,pre,29,Woman,"Lausanne, Switzerland","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Climate, Industrial Design",NA,NA,Very Experienced (5+ Years),"meditation, bouddhisme prayers",Yes,No,NA,No,NA,Yes,Yes,I live in front od the lake and my work is next to a park i would say 2-3 times per week minimum,Xoi Nep Mot,Teamwork to create projects and products,"In the design field it's very competitive you gotta be better, faster than others",NA,NA,NA,it's hard i think to try to make the world a better place and be viable economically hahahah,"i think how to integrate everything that bouddhism teaches us into society, technology and everyday life",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 32,"pre, post, follow_up",37,Woman,"Porto, Portugal",White or European descent,"Academia, Healthcare, Science & Research",Pharmacology / oncology,NA,Very Little,Guided meditation,No,Yes,Mindfulness & yoga retreat,No,NA,No,Yes,"Parks, beaches. Once a week if possible",NA,"Joint effort, common values, hard work","Envy, non-trasparency, lie",I felt the importance of humanizing the other with the concept of interbeing,Team work,"Envy, passive agressive behaviours",Stressfull,NA,Resilient,"Difficult, sometime frustrating but still interesting","It give me another prospective on my psychological journey, making peace with my previous pushing back of spirituality and emotions. And hope in finding peace in oneself to have peace in this world.",The importance of regulating my own emotions in the relationships with others and with myself,"It give me hope in humankind in such difficult moment in which there are so many wars in the world, more hope for peace",Yes,"meditation at local sangha, guided meditation (app)",Some,NA,NA,NA
Participant 33,pre,36,Woman,Roanne France,White or European descent,N/A,NA,NA,Little (1-2 Years),"Plum Village meditations are the latest most used spiritual practices. I also used pranayamas, did vipassanas retreat as well as visualisation techniques.",No,No,NA,Yes,vipassana,Yes,Yes,"Local water reserve/lake, forrests.","""Present Moment"" = Moment Présent Roanne France",Sharing challenges and seeking solutions that would apply to ease situations.,Distributions of products. (I am studying to become a plant/flowers grower),NA,NA,NA,"Challenging as I am unemployed and my interest in medicinal plants and growing them isn't shared by the mass. Although I have limited ressources, the perspective of tending to the Earth is what brings me joy on a daily basis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,All the best in your study!,NA,NA
Participant 34,pre,36,Non-binary,"Canberra, Australia",White or European descent,Climate,Climate justice advocacy and movement building,The Sunrise Project Australia,Very Experienced (5+ Years),"Meditation, journalling, therapy, running",No,Yes,Stanford Compassion Cultivation Training,No,NA,No,Yes,"Lake, mountains - almost every day",NA,Working together on complex and multi-faceted climate campaigns,Not much of this - other than sometimes for funding,NA,NA,NA,"Stressful, hard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 35,"pre, post, follow_up",36,Man,"Amsterdam, NL",White or European descent,"Academia, Education, community work","commoning, self-governance",NA,Very Experienced (5+ Years),"meditation, short ""here and now"" mindfulness, mindful eating, mindful walking, gratitude. Plum Village tradition specifically for 1 year",Yes,No,NA,No,NA,No,Yes,"I have a little tuin, also i help tending to a garden of a friend. There are several parks in my hood and I go there often",NA,NA,NA,"I don't know about collaboration buf I felt many people were a bit to busy with networking which reated a bit restless energy from time to time (fomo, catch them all). I think it's not benefitibg the scientific community. We need to kearn how to let it go",Events organized together,Too many professionals compete for the same pool of clients,NA,NA,NA,"The world is going to hell fast and steady. I'm busy to do everything I can for wellbeing of all beings. I practice active hope, as a verb, since I believe that it's our moral responsibility","I realized that my practice intensifies when I have worse times but now, acter all these lectures I want to medjtate out of researcher's curiousity",Mindfulness increases resilience. We need to practice dhribg our happy days to get througb painful days easier,We all need to firsf work on our nabas to facjle the global challenges better.,Yes,"sitting, walking, eating",no,NA,Thanks so mucv for organizing tgis anazing retreat. A bow to you!,NA
Participant 36,pre,34,Woman,"Berlin, Germany",White or European descent,"Academia, Education, Science & Research, Literature & Arts","Literary Scholar, currently expanding my research towards psychoanalysis, spirituality & contemplative studies","(external) Doctoral Candidate, Humboldt-University Berlin",Moderate (2-3 Years),"MBSR (in the past); currently daily meditation, yoga, grounding practices, occassionally prayer",No,Yes,MBSR,Yes,"Vipassana Retreat, short introduction retreat to Zen-Buddhism & related Christian",Yes,Yes,"There is a park close to my house, but in general I wished I could be outdoors much more often and easily. Happy for the opportunities I get, however – e.g. all the lovely lakes around Berlin.",Wake Up Sangha,"It happens to rarely, if it does (which I deeply enjoy), it is through organising conferences or joint publication projects together.","Resources are rare and competition is omnipresent. It can manifest through backhanded comments during colloquia, sometimes even stealing ideas, a general atmosphere that feels draining and hostile to me. Trying to get ahead of others through working faster, giving more talks and writing more publications is the most obvious aspect of competition. It can show up through some people building alliances with professors, the situation for external doctoral candidates being more difficult as they have less strong connections with the department and events happening there. I also notice a lack of empathy and mutual support. All of this sadly makes this very attractive and interesting working field not very appealing to me... especially in the early years of my doctorate, when these aspects became more obvious, it discouraged and disappointed me to experience the effects of competition on my mental health and the lack of genuine support among peers.",NA,NA,NA,"I feel the content of my PhD is an essential base of thinking through individual and collective transformation. Even more importantly, however, the entire process of the PhD project – and the many struggles that came with it – led me to insights on many levels. I feel this part of my work will find a form (maybe in the form of research, we will see) that will allow me to participate in causes I've been concerned with for a long time, especially collective consciousness regarding the planet and social justice.","First of all, the working conditions are very problematic. Contracts are usually very short, it is expected to move often and therefore not really form a stable living environment. The situation does not allow for future planing and diminishes the ability to even concentrate on work when you have a position as you already need to apply for the next one. As mentioned, this situation creates competition leading to an overall hostile work environment, diminishing the opportunity to actually exchange with colleagues in a supportive way.",NA,NA,NA,NA,NA,NA,NA,NA,I'm looking forward to meeting like-minded people!,NA,NA
Participant 37,pre,61,Woman,"Paris, France","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);, White or European descent","Academia, Education",Experiential education and sustainable development,Assistant Professor at the American University of Paris in anthropology and communication,Little (1-2 Years),I grew up in an spiritual intentional community so I have practiced meditation although it was not mindfulness as taught by Thay.,Yes,No,NA,No,NA,No,Yes,"There is a forest about a 25 min walk away and I go approximately 1 a week.  I know I need more time alone with the sounds and the colors of nature. I have always love trees, flowers and bees.",NA,"Co-teaching a first year course with a fellow professor.  Organizing a cultural study trip with the Cultural Programs office or another faculty. During Covid we started a knitting club and that is probably one of the best collaborative projects we initiated. We all wove a segment of a blanket. I also think some the field based expriential, international service learning courses exemplify collaboration as we have to work closely with partner organizations in the field and together with the students.",Applying for sabbatical or course releases.  Feeling that there is preferential treatment of certain faculty. Publishing is competitive and teaching is not.,NA,NA,NA,My children have move away from home and after many years of committing to caring for them I am curious about how I can contribute to a more peaceful and compassionate world.  I want change in myself and the world.,"I am currently conducting research on how experiential international service learning (mainly American students in India) has an impact on the academic and personal development of students.  I have found that many connect with the communal aspect of their experience, a deeper understanding of the interrelated aspects of sustainable development and seek through their connections with ""champions"" in the field (people who love what they do, and are committed to social change) to develop in themselves higher ethical values.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 38,"pre, post",34,Man,N/A - nomad,White or European descent,"Academia, Science & Research","Connecting complexity science and meditation, theology, contemplative studies","IGDORE, researcher",Very Experienced (5+ Years),"yoga, meditation, tantra, qi gong",No,No,NA,Yes,"Vipassana, Tibetan Buddhism, Zen",No,No,very unpredictable and not regular,NA,"I don't have a physical location, so all online, calls several times a week with collaborators. Feels nice and supportive, and intellectually nourishing, but I would like more vulnerable, embodied and spiritual connections as well",haven't encountered much directly,"There is a sharp dichotomy between ""conference rush to talk to the key people, network, present myself"" and ""mindfully joyful in whatever happens"" - and somehow collapsing or combining these two modes of being in a synergistic way is a huge challenge. I think here was a good attempt, but can be much better done.",NA,NA,"I don't get paid currently (independent researcher), and that feels unsustainable long-term, which puts some pressure on me to keep searching for something I can package as marketable in our society. I have fairly few collaborators, all of whom are online connections - so it feels like we're few and fairly isolated, and wanting to come together more in our work. But I feel like I'm finding the courage to do what's right for me at the moment and follow my intuition, trusting that things will work out - and that's empowering.","I find the motivation structure of academia to be counter to ""being fully human"". We mostly do research for external validations, not for inner curiousity or developing personal wisdom - since this is not encouraged. Vulnerability and humanity are not welcome in work spaces, since we're supposed to be impartial objective observers. ""Brain on a stick"" model of an academic. Because of this I left academia and now travel and study spiritual practices around the world - it's much more fulfilling, but I miss scientific work.","Feeling quite disoriented as to my goal and sense of direction, and to where I can get money for it or a community. Some sense of hopelessness in that. At the same time I think all those experiences are crucially important to finding a deeper truth, so I welcome them.",NA,How many people there are working on these questions and that there really is a bit of an ecosystem forming,NA,Not so much - I was more focused on learning who else is out there thinking along these lines,NA,NA,NA,NA,"I think my answers here were more negative than in the pre-survey. One confound was that I filled out the pre-survey right after coming out of another retreat that was more powerful and profound for me than Plum village retreat. But second is that it's true that I didn't feel very held in the Plum village retreat - I really liked all the people they brought together, but I think they didn't have enough structures in place to really welcome us, help us connect, and make the most out of that community - I felt that we were mostly left to find our way on our own, and more support and community-building structures could have helped",NA
Participant 39,"pre, post",57,Woman,Amsterdam Netherlands,"White or European descent, Jewish","Academia, Healthcare","I am interested in non violent communication, mindful communication and the support for developing peace . I give workshops and lectures and sometimes publish about these and related subjects (reconciliation oa)",I have a private practice as a psychiatrist,Experienced (3-5 Years),"Méditation in sangha, short meditation at home, working meditation, following dharma talks (online, in retreats and sangha evenings). I sometimes pray according to Jewish tradition.",Yes,Yes,"MBSR but by a Buddhist teacher, an early and well known trainee of TN Hanh",No,NA,Yes,Yes,"River, countryside, by Cycling, not far","Welcoming Joy Sangha, Amsterdam Center. All ages, all themes","Meetings to reflect on work, share knowledge, be on call for each other, ask advice, do treatments together",Maybe i keep a bit away from it and dont want to look at it in those terms. I think for certain positions or research positions or offers to present etc there may be competition,"That collaboration is something beautiful and enriching. It was an experienced and reinforced insight from the stay together, the working together and the last evening. That flow is healing and gives us wings.",NA,NA,"It feels good in the wide sense of the word. 
But i often feel i want to contribute more and i am very worried about developments in society , cultivation of more hatred, hard language, polarization. I would like to give more workshops about that or publish, aside from or instead of my practice as a psychiatrist. 
By the way: ""our society"" in the former questions is not quite clear to me. So many sub circles , international aspects etc","In our country not yet 
Although the influence on politics and the pressure to take a stand on the Middle East creates rifts that worry me. It is an unnecessary polarization and no wise speech happening. People are boycotted etc (the wrong ones...)","A great deal i really like. But i like to spend more time and effort on promoting communication and understanding (and peace), for example by giving lectures or workshops. I love working with groups",NA,"That unknowing can be a pleasure. 
How Manas can trick us and make us and/or others unhappy","That one can get to compassion when one makes space for it. For example by pausing, being aware of thoughts and feelings, actions and not acting on negative ones. In a way the same process contributes to resilience, f ex after a set back","That I should not set my goals too high or be frustrated by the current situation so it weighs on me and paralyses me in a way. 
Ofcourse: having trust in connection and cooperation (by all people. .or more people) might change the world",NA,NA,NA,"Interesting research. Hard questions sometimes, and sometimes unclear or too rigid options..",I hope my password or nickname is right. It may also be Kofi,NA
Participant 40,"pre, post",51,Woman,bay area usa,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Business, Healthcare",NA,NA,Moderate (2-3 Years),"meditation, reflection, pilgrimages",Yes,No,NA,No,NA,Yes,Yes,parks and trails in mountains,bay area sanghas,"remote online collaboration, zoomland",diverse,the assigning of families and creating space/trust in such a short period of time...can be applied to teams at work and life,NA,NA,"highly dynamic, changes every day","i believe these challenges extend to business and happiness bc of the (perceived or real) swings of change and unpredictability of life and work. running a consulting company that looks to imbed my work with science+whole being+purpose and spirituality, i look fwd to embracing this week with curiosity and integrate learnings into practical impact for companies and communities! thanku for sharing ur space, wisdom and selves 🙏🏽",external challenges are high but i feel the most grounded and centered ive ever been,NA,"oh wow, hard to pick two. brother phap huu sharing stories in front of TNHs cottage wasnt a takeaway or aha moment but it was memorable in how much TNH still lives in his stories. the service meditations (with bathroom assignment) was real practice of finding the light come through in the cracks of the (toilet) bowl :)",the topic of manas gave me insights on how to practice both,"more than ever before, the way out is in",NA,NA,NA,NA,"would be great to see the results of your survey, and any learnings you can share as well. thank you for all youve contributed to the retreat and PV! 🙏🏽💗",NA
Participant 41,"pre, post",54,Woman,London,Mixed: Italian Turkish,Healthcare,Meditation,University of Derby,Very Experienced (5+ Years),Meditation and Mindfulness,Yes,Yes,I am a MBSR / MBCT teacher,Yes,"Vipassaba, Chan Buddhist with Dharma Drum Mountain",Yes,Yes,I live next door to Lower Hamlet Plum Village.,"Heart of London Sangha, Colours of Compassion Sangha.","Having colleagues that believe in me and are unconditionally there to support me, and vice versa.",Competition plays no part in mental healthcare.,"I’m surprised scientists are capable of being aware that they are deluded and don’t know. Well done, that is correct. ✅","Collaboration in the psychotherapy and mindfulness teaching fields are experienced by me as deeply soulful and spiritual connections between colleagues characterised by true nature, authenticity, understanding, availability, flexibility, strength, expertise and an intimacy with reality.","I don't experience competition in the psychotherapy and mindfulness fields. Perhaps because in the UK these fields are very highly regulated (BPS, BACP, UKCP, BAMBA) by a framework of ethical standards and codes of conduct and practice that everyone must follow and practice. I imagine USA culture is more competitive than UK and European culture. We also have the National Health Service (NHS) in the UK that is free for everyone to use.","I am aligned and attuned to my true nature so things flow smoothly. I don’t get involved with religious, political and cultural hype and delusions. As a research psychologist and meditation teacher, I am aware that delusions are natural and endless. I am learning more and more how to be at peace with unconscious suffering in myself and in the world.",Peace be with you.,"Ok and I think I’m managing remarkably well considering the amount of major changes happening in my life this year, e.g. building a zen cabin in France and commuting internationally every week. 😅🤎🙏🏼","I have been in the depths and fringes of the Green movement for decades, outside of the mainstream society narrative of what it means to be Green. Apologies, but a few people must remain awake and not be fooled or led by the delusional hype of mainstream society, that I honestly estimate is approimately one century behind advancing knowledge and understanding of social, economic and environmental realities.",The art of the unconscious,"Zen Buddhists are aware that they are deluding themselves over 90% of the time. Thay says 99% of the time, but I don’t want to scare you or wake you up abruptly.",I am surprised and so pleased Community of Interbeing scientists know the score.,Yes,I meditate in the morning and my way of being is a meditation. I am also a mindfulness teacher in a local community centre.,"Yes, I've slowed down and feel more stable grounded and peaceful.",Cartesian Science is hugely limited and my work in the fields of psychotherapy and meditation go beyond it and work outside the parameters of Cartesian science.,Peace be with you in suffering and in the unknown. 🤎🙏🏼,Thank you for supporting this retreat and our beloved community.
Participant 42,"pre, post, follow_up",52,Man,"Gevona, Italy",White or European descent,Healthcare,NA,NA,Experienced (3-5 Years),NA,No,Yes,MBSR,No,NA,Yes,Yes,"Woods, 3 - 4 times a week",Sangha dei Carruggi (Genova),Help and support eachother for a better patient care,NA,What is important for me is cultivate the insight of interbeing. With this insight is almost impossible not to collaborate with other people.,"What collaboration feels like is a sense of mutual trust and respect. 
Every member of the team, regardless of their title, has a valuable perspective. It’s a shared accountability for the patient’s outcome. 
There's a profound feeling of humility, too, because you recognize that you are just one part of a much larger, more effective system.",NA,NA,NA,Stressful and sometime overwehlming. Frequent sensation that I don't have enough time to do things in a more 'mindful' way,NA,"It is possible live together in a different way. Create a comunity where everyone can feel safe and supported in his practice.

It is possible be present with your presence, doing nothing, just be.",I think self-compassion and compassionate human interactions  are a crucial foundation for developing resilience,NA,NA,"Sitting meditation, Walking meditation, Deep relaxation",No,NA,NA,NA
Participant 43,"pre, post",35,Woman,"Margate, UK",White or European descent,"Climate, Sci-fi writer, climate & AI researcher and campaigner",NA,NA,Very Little,"Sleep meditation, journalling",No,No,NA,No,NA,No,Yes,"The beach is about a 5 minute walk away, I try to visit it most days but it's hard when I'm stressed.",NA,"I work with other creatives to bring films to life, but due to a lack of funding available it often feels disjointed and inconsistent. However I often get to become very close to collaborators and they become friends as we experience extreme pressure and the joy of creation. We also come up against a lot of beaurocratic issues (policy or funding based) when working on impact campaigns, so that is a shared stress but also bonding.","There is limited funding and very few opportunities, so even colleagues often feel like competition. It's hard not to compare yourself to other filmmakers working in the same issue space and it can feel bad to experience envy.",I feel closer and more understanding of my collaborators,NA,NA,"I feel like a small group of people are very engaged in climate and AI issues, but the general population are carrying on as normal, or do not understand the severity or have the desire to make a change. This makes it very frustrating when we can see the urgency.",NA,There is a lot we are coming up against but there are many of us,NA,There is no separate self; I will always be an anxiously attached person and I have to learn to incorporate that and love that about me rather than assume a partner will fix it,I forgave myself for many things and in turn have reached out to ex-partners to allow them space for closure,I spent a lot of time thinking about how I can feel compassion for people like Elon Musk who have great technological power but I perceive to use it in an evil way. Also the nature of consciousness in an AI context.,NA,NA,NA,"I have always found professional workshops in this specialism helpful for connection, so I'm excited to connect in another non-professional context","I have never had a meditation practice before but now I find the time every day. I realised 'It is difficult to walk mindfully when you have a destination in mind, but very easy when you are trying not to squash baby frogs underfoot'",NA
Participant 44,pre,75,Man,London and Tokyo,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Business, Healthcare",consciousness study,NA,Experienced (3-5 Years),Karma Kagyu and Dzogchen,No,No,NA,Yes,POL and Dzogchen,No,Yes,"Park, forest",NA,"Licensing, joint business operation",ahead of others,NA,NA,NA,Inclusive business,Good try but follow up in-depth personal interviews would help,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 45,pre,31,Man,"Ubatuba, Brasil",White or European descent,juridical,environmental law,NA,Little (1-2 Years),meditation,No,No,NA,No,NA,No,Yes,"I do have access a beach, mountains and camps and i have contact with this places every single day",NA,Collaboration fells like share knowledge and expertise,Competition fells like be the most prepared in the area of atuation,NA,NA,NA,Fells like a great opportunity to explore another point of view.,the differents point of view and comunication intersectorial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 46,"pre, post, follow_up",57,Woman,"Toronto, Canada",White or European descent,Healthcare,Registered Psychotherapist private practice and educator,"Toronto Institute for Relational Psychotherapy, director",Moderate (2-3 Years),"Plum village tradition. Daily meditation, daily practice",Yes,Yes,Mindfulness for Health Practitioners with John Kabitt-zin,Yes,Vipassana,Yes,Yes,"Parks and green space, every day",Grand River (Cambridge) Dharma River (mount forest) all in Ontario,Peer support and collaborative learning,Taking a position that one modality is superior to another.,Collaborating requires regulated bodies as much as possible. I knew this but now I know tbis,NA,NA,Like it’s the most important work along with lots of other most important work. It’s hard to hold people in this vicious moment but I love it.,"We need to be so careful not to confuse the kindness that a computer can generate with real empathy. I’m scared of what AI will
Think is good therapy. I’m worried it will miss (and people relying on it will miss) the deep subtlety of human interaction. I’m worried in the rush to “prove” the “truth” of healing modalities (like you are kind of doing here with mindfulness) that the spirit will be lost. I’m psychodynamic in my orientation. It’s hard to prove what it is about what I do that’s the magic sauce. All I can say is it’s there and one must be very attuned to understand what’s happening. In other words, I fear that science will kill god (our inter-being nature)",Intense but amazing. I feel needed and useful. I hope people can continue to afford therapy,Hard. And meaningful,"I really got in touch with the embodied nature of my shame but don’t worry it was a really good thing that happened. Also, I’m a walking simulation striving to sense into reality as it is",Nothing particularly new for me,More fodder for the idea of peace on the inside leads to more peace on the outside,Yes,Daily ish meditation and sangha and weekend retreats with local centre,No,I didn’t even intend to sign up for tbis retreat I was just coming for the week and the retreat signed me but I’m stoked it is so up my alley:). I also really hope I can meet Ellie as I’ve seen her speak at u of t before and we probably share community. Yay,This was a really great idea!! Do it again the AI people need to stay mindful that bodies are important! And the rest of us too but particularly them!,NA
Participant 47,pre,36,Man,"Cape Town, South Africa",White or European descent,Finance,Economic research,NA,Experienced (3-5 Years),"Meditation (walking and sitting), grounding practices, prayer, Plum Village and Christianity",Yes,No,NA,Yes,Vipassana and Transcendental Meditation (TM),No,Yes,"Beach, mountain, forest - everyday",NA,Sharing ideas. Feeling some pressure to come up with insightful ideas but also feeling rewarded and appreciated when that happens.,Mainly self competition,NA,NA,NA,"It feels somewhat challenging but I’m also grateful that I have a job that I really enjoy and I feel optimistic overall about the prospects for all of these things: social, economic and environment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 48,pre,38,Woman,Spain,"Hispanic, Latino, or of Spanish origin",Healthcare,NA,NA,Experienced (3-5 Years),"Meditation, Conscious daily attention to spiritual concepts (compassion, patience, clarity, kindness and so on), yoga practice",Yes,No,NA,No,NA,No,Yes,I live in a house that´s surrounded by plants and a vegetable garden. The space is close by the mountain and fields of oranges. I´m daily in contact with nature,NA,Share information about patients and integrate different points of view that concerns the mental and physical health of the person. Collaboration feels like connecting and having a shared intention.,Avoid meeting or ignoring what´s important. Competing feels like more an individualistic approach where the money and individual time is more important for everyone.,NA,NA,NA,"Currently it feels like an exciting time but at the same time very challenging. People working at a Hospital are not in an open minded state and inculcate the concepts of Integrative Psychology in medicine is very difficult. The social environment is close minded at the Hospital and very traditional still to past ideas about health and wellbeing. However, when i conduct my work directly with the patients I feel hope and very fulfilled, since people seemed to understand and respond well to the Integrative approach in health.","I believe there is a challenging time of transitions where neuroscience is fast getting new discoveries but people, at least in Spain, are often attached to the traditional way of doing. It´s difficult to be able to apply what science already has proven in a more humane way. Values such a caring, patience and presence are undervalued in a system that works fast and with the intention to gain money. Doctors and health providers are often overwhelmed by the demands of the system and that pressure doesn't give an opportunity to implement what´s already known in neuroscience about the care of people.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
